๏ครั้นว่าไหว้ครูแล้วจับบท	ให้ปรากฏเรื่องราวมาแต่ก่อน
ครั่นคร้ามขามจิตรสะดุ้งกลัว	นี่ผัวเจ้าวันทองแล้วแน่ใจ
ครั้นจะมิบอกความที่ถามหา	แค้นขึ้นมาก็จะพาลพาโลให้
จะสู้รบหลบหนีไปแห่งไร	จะพลอยเสียเบี้ยใบ้ไปลอยลม
คิดแล้วจึงว่าช่างน่าหัว	มาหลงตัวหลงห้องไม่เห็นสม
แค้นนักที่มาลักมาลอบชม	มายกยอให้นิยมเหมือนเย้ยกัน
เต่าเตี้ยดอกอย่าต่อให้ตีนสูง	มิใช่ยูงจะมาย้อมไม่เห็นขัน
หิ่งห้อยฤๅจะแข่งแสงพระจันทร์	อย่าปั้นน้ำให้หลงตะลึงเงา
ข้าทาสีดอกมิใช่เจ้าวันทอง	ดูแต่ห้องน้อยนอนเถิดนะเจ้า
มิใช่ที่ประสงค์อย่าหลงเดา	ข้าเจ้าลูกท่านสุโขทัย
บิดาต้องจำระยำยาก	ขายฝากดีฉานให้ท่านใช้
เป็นเงินสิบห้าบิดาเอาไป	ตัวฉันไซร้ชื่อแก้วกิริยา
เป็นไทยอย่าเอาใจมาคบทาส	ฉันไม่อาจเอื้อมนั่งเสมอหน้า
ที่โกรธแค้นแทนกันแต่ก่อนมา	ก็แก้แค้นตามประสาท่านผู้ดีฯ
๏น้อยฤๅพูดจาช่างน่ารัก	เสนาะนักนํ้าคำเจ้าเสียดสี
ปิ้มจะกลืนชื่นใจในวาที	สงสารด้วยยังไม่มีคู่ภิรมย์
แม้นชายใดได้อยู่เป็นคู่ครอง	จะแนบน้องเชยชิดสนิทสนม
พี่จะอยู่สู้รักไม่แรมชม	มิใช่ลมลวงน้องอย่าหมองใจ
อย่าว่าแต่เจ้ายากอยู่สิบห้า	ถึงห้าชั่งพี่ก็หามาช่วยได้
บุญหลังได้สร้างมาปางใด	เผอิญให้จำเพาะพบประสบนาง
ว่าพลางทางแอบแนบชิด	ปลื้มจิตรอย่าสะเทินเมินหมาง
แก้ห่อเงินมอบแล้วปลอบพลาง	อย่าระคางเคืองใจได้เอ็นดูฯ
๏ครานั้นนางแก้วกิริยา	เมินหน้าซ่อนซบหลบอยู่
ปัดป้องมิให้ต้องเข้าชมชู	รู้แล้วว่ารักว่าปรานี
เงินทองกองเกวียนจะโกยให้	ฉันขอบใจบุญคุณเหนือเกศี
ยังคิดคำบิดาเป็นราคี	ท่านปรานีซ้ำสั่งสารพัน
ถึงยากจนก็ให้ทนเสงี่ยมจิตร	อย่าพลั้งผิดปรีดิ์เปรมเกษมสันต์
รักหลังระวังโพยโบยรัน	แม่นมั่นรับสัตย์กับบิดา
ถ้าหม่อมรักฉันแท้ไม่ทอดทิ้ง	อย่าด่วนชิงเชิญงดให้งามหน้า
อย่าให้น้องหมองสัตย์ที่สัญญา	เชิญไปว่ากับคุณพ่อแต่พอควร
หม่อมรักใช่ฉันจักไม่รักตอบ	จะลักลอบกลัวผิดสักพันส่วน
รักตัวกลัวอายเสียดายนวล	สุดสงวนอยู่แล้วอย่าวอนเลยฯ
๏น้องเอ๋ยเพราะน้อยฤๅถ้อยคำ	หวานฉํ่าจริงแล้วเจ้าแก้วเอ๋ย
เจ้าเนื้อหอมพร้อมชื่นดังอบเชย	เงยหน้ามาจะว่าไม่อำพราง
ได้ชมชิดเข้าสนิทอย่างนี้แล้ว	ขอเชิญแก้วกิริยาเมตตาบ้าง
พี่จะมอบเสน่ห์ไว้ที่ในนาง	อย่าระคางข้องแค้นระคายเคือง
ถ้าพี่ลวงน้องให้หมองสัตย์	จงวิบัติเกิดเข็ญให้เป็นเนื่อง
สารพัดวิชาสง่าเปลือง	เจ้าเนื้อเหลืองดังทองมาทาบทับ
ว่าพลางทางเปลื้องเครื่องคาด	แขวนพาดฉากลงประจงจับ
อุ้มนางวางตักสะพักรับ	ก็ทอดทับระทวยลงดังท่อนทอง
พระพายชายพัดบุปผาชาติ	เกสรสาดหอมกลบตรลบห้อง
ริ้วริ้วปลิวชายสไบกรอง	พระจันทร์ผันผยองอยู่ยับยับ
พระอาทิตย์ชิงดวงพระจันทร์เด่น	ดาวกระเด็นใกล้เดือนดาราดับ
หิ่งห้อยพร้อยไม้ไหวระยับ	แมลงทับท่องเที่ยวสะเทือนดงฯ
๏ครานั้นนางแก้วกิริยา	เสนหาปลื้มใจใหลหลง
ความรักให้ระทวยงวยงง	เอนแอบอ่อนลงด้วยความรัก
สะอึกสะอื้นอ้อนแล้วถอนใจ	น้ำตาไหลซกซกลงตกตัก
แค้นใจที่มาไล่ข่มเหงนัก	แล้วจะลักวันทองไปเที่ยวไพร
ตัวท่านจะสำราญระริกรื่น	ข้านี้นับคืนคอยละห้อยไห้
เพลินป่าพ่อจะมาต่อปีไร	ขุนช้างก็จะไล่พาโลตี
ท่านจะมาหากันนั้นต่างหาก	กรรมวิบากพามาไม่พอที่
ให้พะวังกังขาเป็นราคี	ทำทีควักค้อนด้วยงอนใจฯ
๏ขุนแผนรับขวัญอย่าพรั่นจิตร	พี่หาลืมคิดความหลังไม่
แสนสงสารสุดสวาดิเพียงขาดใจ	นับแต่วันนี้ไปจนวันตาย
มิวันหนึ่งก็วันหนึ่งคงถึงห้อง	ประสมสองเกษมสุขให้โศกหาย
ชื่นจิตรเจ้าจงคิดเพทุบาย	ถ่ายถอนตัวเสียให้เป็นไทย
ว่าพลางทางถอดซึ่งแหวนเพชร	ประคองเช็ดน้ำตาอย่าร้องไห้
ชมแหวนแทนพลางสว่างใจ	สอดใส่นิ้วน้อยให้นางดู
กอดคอชะลอเคลื่อนออกจากห้อง	สอดประคองอกประทับสะทึกอยู่
มิใคร่เขยื้อนยกแขนประคองชู	เอ็นดูด้วยช่วยชี้ที่วันทองฯ
๏นางแก้วกิริยายิ่งอาลัย	แข็งใจชี้แจงตำแหน่งห้อง
ตรงนี้แน่ะแลไปอย่าเมินมอง	ล่วงสองชั้นเข้าไปห้องใน
แสงอัจกลับตามอร่ามเรือน	คนเกลื่อนนอนนั่งระวังไสว
เอ็นดูน้องเถิดอย่าไปเลยเป็นไร	เหมือนหนึ่งใจเมียจะขาดด้วยคิดกลัว
เจ้าแก้วกิริยาอย่าอาวรณ์	ขวัญอ่อนเจ้าไม่เคยเห็นฤทธิผัว
ไม่แกล้วกล้าฤๅจะมาได้แต่ตัว	ชั่วแล้วดอกจะละวันทองทิ้ง
ขวัญข้าวเจ้าไปนอนเสียเถิดน้อง	หับห้องเสียให้มิดสนิทนิ่ง
เย้ายวนกวนใจไม่ไปจริง	นิ่งนะพี่จะเข้าไปห้องใน
ปลอบพลางวางน้องแล้วย่องเยื้อง	ชำเลืองแลวันทองอยู่ห้องไหน
บังลับแลแลลับวับวาบใจ	แสนอาลัยเหลือที่จะรีรอ
นางแก้ววิ่งตามด้วยความรัก	จักแหล่นลืมฉันเสียเจียวหนอ
แคลงเรือนเพื่อนฤๅจึงรื้อรอ	ถัดหอเข้าไปหน่อยก็นั่นเองฯ
๏ขุนแผนเหลียวมาเห็นหน้าแก้ว	เจ้าบอกแล้วไม่พิเคราะห์ให้เหมาะเหมง
เห็นช่องแล้วอย่าร้องให้ครื้นเครง	เกรงผิดจึงชะงักฉงนใจ
ดึกแล้วแก้วพี่ยังมินอน	อย่าอาวรณ์เลยพี่ไม่ช้าได้
ว่าพลางพานางเข้าห้องใน	ปลอบให้นอนเหนือที่นอนน้อย
กอดประทับมิใคร่หลับลงเลยหนอ	ประคองคอเขยื้อนขยดถอย
เห็นหลับๆกลับขยิบกะปริบกะปรอย	จนเหงื่อย้อยลงแล้วไม่หลับนอน
ว่าพลางทางเป่าพระเวทฤทธิ์	ให้สนิทล้มหลับลงกับหมอน
ลุกเลี่ยงหลีกมายิ่งอาวรณ์	หยุดยืนยั้งสะท้อนสะทึกใจ
เห็นพลิกตัวกลัวเจ้าจะคว้าหา	กลับมากอดน้องให้นอนใหม่
แต่กอดแล้วกอดเล่าเคล้าคลึงไป	เห็นหลับใหลสิ้นสมประดีนาง
วางน้องย่องย่างออกจากเตียง	พลิกหมอนข้างเคียงประคองข้าง
จากห้องย่องเหยียบแต่เบาบาง	พลางผูกใบดาลสำราญใจฯ
๏เดินถือฟ้าฟื้นขึ้นหอกลาง	ของขุนช้างสร้างขึ้นไว้ใหม่ใหม่
หอนั่งตั้งฉากพับไว้	ขุนทองกรงทองใส่สะอาดตา
กระจกใหญ่ใส่รูปฝรั่งนั่ง	นัยน์ตาตั้งค้อนคมดูสมหน้า
ชมพลางทางเดินเพลิดเพลินมา	รีบเร่งเร็วหาเจ้าวันทอง
เห็นทาสหญิงนอนกลิ้งหอกลางหลับ	สะเดาะฉับเดินเข้าไปในห้อง
เครื่องแก้วแพรวพรายอยู่ก่ายกอง	ฉากสองชั้นม่านมูลี่มี
ม่านนี้ฝีมือวันทองทำ	จำได้ไม่ผิดนัยน์ตาพี่
เส้นไหมแม้นเขียนแนบเนียนดี	สิ้นฝีมือแล้วแต่นางเดียว
เจ้าปักเป็นป่าพนาเวศ	ขอบเขตเขาคลุ้มชอุ่มเขียว
รุกขชาติดาษใบระบัดเรียว	พริ้งเพรียวดอกดกระดะดวง
ปักเป็นมยุราลงรำร่อน	ฝ่ายฟ้อนอยู่บนยอดภูเขาหลวง
แผ่หางกางปีกเป็นพุ่มพวง	ชะนีหน่วงเหนี่ยวไม้ชม้อยตา
ปักเป็นหิมพานต์ตระหง่านงาม	อร่ามรูปพระสุเมรุภูผา
วินันตกหัศกันเป็นหลั่นมา	การวิกอิสินธรยุคุนธร
อากาศคงคาชลาสินธุ์	มุจลินท์ห้าแถวแนวสลอน
ไกรลาศสะอาดเอี่ยมอรชร	ฝูงกินนรคนธรรพ์วิทยา
ลงเล่นน้ำดำดั้นอโนดาต	ใสสะอาดเยือกเย็นเห็นขอบผา
หมู่มังกรล่อแก้วแพรวพรายตา	ทัศนารำลึกถึงวันทอง
ห้ำหั่นฟันม่านผลาญสับ	ระยำยับย่างเข้าไปชั้นสอง
น่ารักปักเอี่ยมลออออง	น้องเอ๋ยช่างฉลาดลํ้ามนุษย์
เจ้าปักเป็นพระลอดิลกโลก	ถึงกาหลงทรงโศกกำสรดสุด
แสนคะนึงถึงองค์อนงค์นุช	พระทรงเสี่ยงสายสมุทรมาเป็นลาง
แสนคะนึงถึงองค์พระเจ้าแม่	พระลอแลน้ำแดงดังแสงฝาง
ละลักษณวดีไว้โดยปรางค์	คะนึงนางพระพี่น้องทั้งสององค์
ปู่เจ้าท้าวใช้ให้ไก่แก้ว	มาล่อแล้วพระลอไล่เตลิดหลง
ถึงสวนพระยิ่งแสนกำสรดทรง	ปักเป็นองค์พระเพื่อนพระแพงทอง
สู่สวนพิศวาสประพาสโฉม	พระลอโลมเสพสุขประสมสอง
พี่เลี้ยงเคียงข้างคอยประคอง	นางรื่นนางโรยรองบาทบงสุ์
มิเสียแรงใจเจ้าวันทองเอ๋ย	กะไรเลยโลภรักขุนช้างหลง
กลุ้มกลัดตัดม่านสะบั้นลง	ฉีกฉะหวะวงแล้วเหวี่ยงไป
ถึงม่านชั้นสามดูงามพริ้ม	ฝีมือพิมเจ้าทำพี่จำได้
ยืนพิศม่านน้องต้องติดใจ	ฉลาดนักปักไว้เป็นคาวี
จรดลด้นดั้นอรัญเวศ	ถึงกรุงจันตประเทศบุรีศรี
สังหารผลาญหมู่สกุณี	เลือดอินทรีแดงสาดลงดาษดิน
ปักเป็นลงเล่นในคงคา	กับโฉมจันทร์สุดาอันเฉิดฉิน
ลอยเส้นเกศาในวาริน	หอมกลิ่นผมตรลบผอบทอง
ปักเป็นเถ้าทัศประสาทใจกล้า	มาลวงพานางพรากไปจากห้อง
ถวายท้าวเมืองอื่นให้ชื่นครอง	กระทบเรื่องวันทองให้เคืองใจ
อีเถ้าศรีประจันผู้มารดา	เหมือนอีเถ้าใจกล้าหาผิดไม่
ดูพระยาก็ให้ชังยิ่งคลั่งใจ	เหมือนไอ้ขุนช้างชิงวันทองกู
พระยาก็ไม่ยากมากหมื่นนาง	ขุนช้างเป็นเศรษฐีมีถมอยู่
ดูม่านพล่านใจดังไฟวู	จู่จับฟ้าฟื้นฟันระยำ
สับบั่นหั่นย่อยลงร้อยทบ	ฟันตรลบม่านมุ้งไม่เป็นสํ่า
เห็นขุนช้างกางกอดอยู่กำยำ	ทะมื่นดำดาลเดือดเสียดายนาง
วันทองน้องน้อยหนึ่งเท่านั้น	จะเคียงมันก็ไม่ถึงสักครึ่งข้าง
เงื้อดาบจะใคร่ฟาดให้ขาดกลาง	ง้างหัวมาจะสับให้ยับลงฯ
๏กุมารทองป้องปัดสกัดดาบ	ประนมกราบขอโทษยิ่งโกรธส่ง
ถีบต่อยเตะตกจากเตียงลง	กุมารตรงยึดขวางไม่วางมือ
งดก่อนผ่อนพ่ออย่าเพ่อฆ่า	ไม่กลัวอาญาเจ้าชีวิตฤๅ
ขุนแผนแค้นกัดกรามคำรามฮือ	เอออือกูไม่กลัวแล้วอาญา
มันทำแค้นพ่อก็พอแรง	กูจะแล่งอกออกเอาดาบผ่า
ถอยไปใช่การอย่านำพา	ฆ่าเสียที่ลับจับเอาใคร
กุมารทองห้ามว่าอย่าให้ตาย	เอาแต่พอเจ็บอายเลือดตาไหล
ฟันฆ่าเทวดามักดลใจ	จับได้เนื้อความลามกระจายฯ
๏ขุนแผนคลายแค้นพิโรธจิตร	ยืนพิศวันทองแล้วใจหาย
มืดมิดช่างไม่คิดเสียดายกาย	อายบ้างก็ไม่มีเท่าขี้เล็บ
ลอยหน้ามาอยู่กับชู้ช้าง	กระเบนกรางหน้าผากไม่อยากเจ็บ
ปักม่านเท้าแขนแอ่นเอวเย็บ	ซ่อนตะเข็บน้อยน้อยน่าเอ็นดู
สมรูปเจ้าแล้วฤๅไรนั้น	พัวพันช่างไม่พิศดูหัวหู
ชอบใจใหม่แล้วมาลืมกู	เคียงคู่ชะควรกันสุดใจ
จะดูแก้มแก้มก็หมองไปหมดสิ้น	นวลขมิ้นดอกนวลเนื้อหามีไม่
จะดูนมนมก็น่วมหลวมทรวงไป	จะหาไตแต่สักนิดไม่มีเลย
เสียงามไปกว่าก่อนนางงอนรถ	สุดจะอดแล้วนะเจ้าวันทองเอ๋ย
ถ้ามิว่าจะชะล่าชะเลยเคย	ขยับเงยเงื้อดาบสะดุดพราย
ฮึดฮัดวัดเหวี่ยงกุมารทอง	อย่าปัดป้องกูจะฆ่าให้ฉิบหาย
กุมารยึดดาบง้างไม่วางวาย	คิดเสียดายทิ้งดาบกระเดื่องใจ
โอ้เจ้าวันทองของพี่เอ๋ย	ไม่เห็นเลยว่าจะเป็นเช่นนี้ได้
เสียยศเสียศักดิสักเท่าไร	ดังดวงแก้วไปได้กับวานร
คายอมจมฝุ่นแล้วเหวี่ยงฟัด	จะใคร่ตัดรูปรอยสักร้อยท่อน
ให้ทานแร้งกากินที่ดินดอน	ฟันฟอนอ้ายขุนช้างให้สาใจ
ทั้งนี้เพราะอีศรีประจันเอง	ไม่เกรงดาบกูดูหมิ่นได้
ชอบเชือดเนื้ออีแม่แล่อกใจ	แคะได้เอาพริกกะเกลือพรม
จับหัวขุนช้างขอดตลอดขวัญ	หยิกควั่นหยอกหยอยเหมือนหอยขม
น้ำมันปั้นปีกจำเปาะกลม	ดูเป็นร่มระย้าพระยามอญ
จับรวบกันเข้าจะเกล้าจุก	อ้ายขี้คุกกลางโล่งออกล่อนจ้อน
หวีไว้ไปล่ปลิวเป็นปีกงอน	เอาแหนบถอนไรจุกเข้าสองนิ้ว
เอาไม้ม้วนสำลีเข้าหวีโหย่ง	อ้ายตายโหงโล่งเปล่าอ้ายเหาหิว
เอามินหม้อล่อทาเป็นปลาซิว	เขียนกริวขึ้นขี่ที่ต้นคอ
ที่ต้นขาเขียนปลาเทโพผุด	เขียนเขียนแล้วก็หยุดยืนหัวร่อ
ถีบตกเตียงคว่ำดำมอซอ	เอาหม้อผูกคอเข้าสองใบ
ทำขุนช้างแล้วก็ย่างขึ้นบนเตียง	เคียงนางพลางทอดถอนใจใหญ่
โอ้เจ้าวันทองหมองมัวไป	ลูบไล้อ่อนอุ่นละมุนมือ
มือพี่อย่างนี้ดอกควรต้อง	กับเนื้อน้องนุ่มนิ่มควรจะถือ
ถนอมรักหนักนิดหนึ่งไม่ครือ	แต่อุ้งมือค่อยประทับดังทองเปลว
นิจจาเจ้าเศร้าซีดทั้งเนื้อนม	บีบระบมเอาแล้วอ้ายห่าเหว
เตะขุนช้างผางเข้าหว่างเอว	อ้ายลิงเลวดีแล้วแต่รายเมา
ฮึดฮัดจะใคร่ตัดศีรษะขว้าง	กุมารขวางอย่าฆ่าเลยพ่อเจ้า
สับทำแต่พอหนำน้ำใจเรา	ฆ่าเขาความผิดจะติดตัว
ฟังพรายคลายโกรธพิโรธจิตร	ยืนพิศวันทองยิ่งชังผัว
ขับพรายร่ายมนตร์ให้ฟื้นตัว	เจ้าตื่นขึ้นดูผัวสักหน่อยราฯ
๏ครานั้นจึงโฉมเจ้าวันทอง	หลับต้องมนตร์มึนยังมืดหน้า
สะดุ้งตกใจตื่นไม่ลืมตา	ผวากอดขุนแผนนิ่งไม่ติงตัว
ขวัญหายกายสั่นระรัวริก	ปลุกหยิกคิดว่าขุนช้างผัว
เล่าความฝันมาประหม่ากลัว	ว่าทูนหัวสุมไฟไว้ในมุ้ง
เปลวปลาบวาบพลุ่งขึ้นปลายจาก	ไหม้มากหลายตับลงยับยุ่ง
ต้องตัวผัวไหม้ทั้งไส้พุง	น้องสะดุ้งโดดกลิ้งลงกลางแปลง
เรืองเริงเพลิงผลาญม่านหมอนฟูก	ถูกน้องพุพองเป็นหลายแห่ง
ไม่มึใครจะช่วยดับวับวาบแรง	ตัวน้องนึกแสยงสยดใจ
เชิญช่วยทำนายให้น้องที	เช่นนี้น้องหาเคยจะฝันไม่
จะเกิดเหตุเภทพาลประการใด	กอดแอบแนบไว้ไม่ลืมตาฯ
๏ครานั้นจึงโฉมเจ้าขุนแผน	ขัดแค้นคำนางพลางตอบว่า
ฝันนี้ดีดอกเจ้าพี่อา	แก้วตาอย่าสลดระทดใจ
เจ้าฝันว่าไฟฟอนฟูกหมอนม่าน	จะมีท่านผู้อื่นเอามาให้
อันซึ่งว่าครวญคร่ำรํ่าพิไร	จะเกลียดไกลคนชั่วที่มัวเมา
ฝันว่าร้องไห้จะได้ชม	ของรักตกตมจะคืนเข้า
ที่ร้อนโรคโศกสร่างจะบางเบา	มิตรเก่าจะประคองวันทองน้อย
พี่กับเนื้อเย็นจะเป็นสุข	อย่าทุกข์พรั่นขวัญข้าวอย่าเศร้าสร้อย
ว่าพลางช้อนคางให้เพลินพลอย	ขอจูบหน่อยเถิดเจ้าอย่าเศร้าใจฯ
๏ครานั้นวันทองผ่องโสภา	ฟังเสียงเจรจาไม่จำได้
เสียงกระเส่ากระซิบยิ่งเสียวใจ	ลูบไล้อกอ่อนสะเอวบาง
นิ่มนิ่มเนื้อน้อยประหลาดนัก	ครั่นจะทักเกรงผิดให้คิดหมาง
แคลงคลำอกเลี่ยนตลอดคาง	หอมกระแจะจันทน์นางยิ่งแหนงใจ
ขุนช้างบางแบบอย่างนื้ฤๅ	แต่ข้อมือเกินกำหารอบไม่
ผวาตื่นฟื้นตัวด้วยตกใจ	คว้าไปก็ปะเจ้าขุนช้าง
ทูนหัวผัวรักไม่ลืมตา	ทำไมมานอนกลิ้งอยู่พื้นล่าง
ปลุกสั่นหวั่นไหวนํ้าใจนาง	นํ้าตาพรูพรูพร่างลงพรายตาฯ
๏ครานั้นจึงโฉมเจ้าขุนแผน	ขัดแค้นคำนางพลางตอบว่า
วันทองน้องรักเจ้าพี่อา	ลืมตาดูบ้างก็เป็นไร
พี่มิใช่ผู้ร้ายชายโจร	อย่าเพ่อโผนแผดร้องไปข้างไหน
สั่นปลุกลุกขึ้นทำไมใคร	อย่าจำใจให้ลุกไม่ลุกเลย
คนหลับกลับสั่นขึ้นให้ฟื้น	คนตื่นนี้ไม่เตือนทำเชือนเฉย
เกลียดชังอย่างไรฤๅไม่เคย	เงยหน้ามาทักอย่าผลักแพลง
นิจจาเจ้าวันทองน้องพี่อา	พี่จำหน้าเนื้อน้องได้ทุกแห่ง
นิจจาใจช่างกะไรมาแปลกแปลง	เอามือคลำแล้วยังแคลงอยู่คลับคล้าย
เจ้าลืมนอนซ่อนพุ่มกระทุ่มตํ่า	เด็ดใบบอนช้อนน้ำที่ไร่ฝ้าย
พี่เคี้ยวหมากเจ้าอยากพี่ยังคาย	แขนซ้ายคอดแล้วเพราะหนุนนอน
เจ้ามาได้ผัวดีมีทรัพย์มาก	มาลืมเรือนเพื่อนยากแต่เก่าก่อน
หลงเชิงขุนช้างช่างชะอ้อน	กอดท่อนซุงสักสำคัญคน
ถ้ามันตื่นขึ้นเห็นพี่จูบเจ้า	ตายเปล่าคอพี่นี้ขาดป่น
สั่นปลุกลุกจริงสิพี่จน	ลุกขึ้นได้ไล่ชนพี่ตายจริงฯ
๏ครานั้นวันทองผ่องโสภา	ฟังว่าสะดุ้งใจไหวกริ่ง
เจ็บจิตรตละพิษปืนยายิง	ช่างค่อนติงเสียดซ้ำให้แสบใจ
รื้อเรื่องไร่ฝ้ายกระจายวุ่น	นี่ขุนแผนแม่นแล้วหาใครไม่
ดึงดื้อถือตัวไม่กลัวใคร	มีแต่ฤทธิแล้วจะไล่พาโลทำ
นิ่งอยู่ดูช่างประชันประชด	เหลืออดว่าเล่นไม่เป็นสํ่า
เป็นไรก็เป็นไปตามกรรม	จะเหยียบยีให้ระยำไม่อยากกลัว
นึกพลางทางหันเข้าสั่นปลุก	ลุกขึ้นเถิดเจ้าจอมหม่อมผัว
ควํ่าหน้าหลับตาช่างลืมตัว	ไม่กลัวฤๅพระกาลกาญจน์บุรี
ว่าพลางนางปัดพานหมากหก	นํ้าตาตกลุกไปเสียจากที่
ยืนบังฉากแค้นแสนทวี	ชะดีแล้วเจ้าข้าขอบใจ
ความสัตย์สารพัดจะสัจจัง	ที่แท้ถังดอกหาใช่สัดไม่
นํ้าลายคายขากจากปากไป	กลับกลํ้ากลืนได้เจ้าดีจริงฯ
๏ขุนแผนแค้นคำแล้วตอบนาง	ชะช่างพิไรได้ทุกสิ่ง
เปรี้ยงแปร้นแสนคมคารมจริง	อย่านิ่งนะวันนี้ได้ฟังกัน
เมื่อกี้ว่าใครไม่มีสัตย์	สารพัดเหน็บแนมแกมขยัน
แสนงอนค่อนว่าสารพัน	สัตย์ที่ถือมือมั่นจึงพลาดพลัด
อันตัวเจ้าแลเสียสัตย์วิบัติคิด	พี่จึงติดตามทวนมาสวนสัด
เจ้าเจนตวงท่วงทีดีสันทัด	ป้องปัดปาดหมุนละมุนตา
ขุนช้างได้นางมาสอบสวน	เจ้าจึงทวนถูกสัดยี่สิบห้า
แสนคมคารมเติบเจรจา	มาเชิดหน้าลอยนวลให้กวนใจ
ไม่อดสูปลุกชู้ขึ้นชิงผัว	จะกลัวบ้างสักนิดหามีไม่
สั่นปลุกลุกขึ้นทำไมใคร	มารองให้ชมขวัญกี่วันแล้ว
ไม่อิ่มอกอิ่มใจบ้างเจียวฤๅ	ยังขืนดื้อถือปัดว่าดวงแก้ว
มิฟังก็หลังจะเป็นแนว	ยังดิ้นแด่วโดดเดือดไม่รู้ตัวฯ
๏วันทองหมองคำที่ค่อนแค้น	เหลือแสนเจ็บแสบสมองหัว
ว่าได้ว่าไปให้ใครกลัว	ตกว่าชั่วเจ้าจึงซ้ำกระหนํ่าเน้น
นี่เส้นผมกลมน้อยเสียนักอีก	ซีกเดียวเจ้ายังจักได้เจ็ดเส้น
แสนงอนค่อนว่านัยน์ตาเป็น	เช่นนี้เกิดมาไม่เคยพบ
มาชี้หน้าด่าข้าว่าไรฤๅ	มาขึ้นไม้ขึ้นมืออยู่หรบหรบ
ความหลังข้ายังจำไว้ได้ครบ	เจ้าเรียกให้เมียตบไม่เกรงใจ
ทั้งแขวนหนังสือด่าสารพัด	ตัดรอนค่อนว่าหาเลี้ยงไม่
จะฉีกเชือดอีเถ้าแม่แล่อกใจ	ว่าไม่เลี้ยงแล้วเหมือนกากี
แสนแค้นที่เจ้าแขวนหนังสือด่า	ค่อนว่าสัปดนจนป่นปี้
ในตัวล้วนแต่ชั่วไม่มีดี	จี้ไชไค้แคะแกะเลือดปู
ห้ามหวงขุนช้างมิให้รัก	อัปลักษณ์ขายหน้ามิให้อยู่
มารดานํ้าตาลงพรูพรู	จึงสู้ส่งให้เขาข้างนี้
เขาจึงได้ทีทำระยำเยิน	เมื่อได้เกินแล้วอย่ากลับมาจู้จี้
ได้เสียตัวเพราะผัวไม่ไยดี	ถ้ามีเมตตาบ้างมิเป็นไร
ยามโปรดเจ้าโลดดังจะเหาะ	ได้เมียเหมาะแล้วหาว่าไรไม่
สอนให้เมียด่าว่าวุ่นไป	ลูบไล้โลมเล่นตละรำ
นี่ลาวทองจากห้องไปแล้วฤๅ	จึงดึงดื้อเดือดมาเวลาคํ่า
ไม่ตามใจขัดใจจึงเพ้อพำ	นี่อดน้ำแล้วสิเลี้ยวมากินตมฯ
๏เพราะคำรํ่าค่อนงอนสะบัด	แม่ผลัดชื่อให้ก็เห็นสม
ชื่อว่าวันทองต้องนิยม	นานไปแก้มกับนมจะเป็นทอง
เออกระนั้นสิเจ้าอย่าให้ว่า	ให้หลับตาชมเซอะอยู่ในห้อง
ตามใจให้เจ้าทำตามลำพอง	ครั้นว่าบ้างแล้วก็ร้องไม่เคยพบ
แต่กระนั้นยังไม่ได้กับใจนาง	ปล่อยหางแล้วก็เปรื่องกระเดื่องจบ
รื้อเรื่องความหลังตั้งสมทบ	ข้าเรียกให้ใครตบจึงเจรจา
แค้นขุ่นวุ่นฉาวกับลาวทอง	โดดจากเรือร้องทำหยามหน้า
แปรดแปร้นแค้นขัดสะบัดมา	เหลือว่าอยู่แล้วแต่วันนั้น
เป็นใจใครมั่งจะไม่แค้น	ผิดเจ้าจะแล่นไปไหนนั่น
เพราะยังเมตตาไม่ฆ่าฟัน	โกรธกันจริงแต่ยังไม่ตัดรอน
จากไปสองคืนคืนมาเรือน	เจ้าช้างเถื่อนกอดประทับไว้กับหมอน
แค้นใจตละไฟมาไหม้ฟอน	แต่วันนอนอยู่วันนั้นก็เจียนตาย
ถ้าเอากฤชนีดเน้นให้เป็นผี	ปานนี้ก็จะสูญเป็นเถ้าหาย
ถึงโกรธก็ยังรักยังเสียดาย	จึงคลายโทษหลังยั้งหยุดคิด
รุ่งเช้าเฝ้าเรียกให้ออกมา	เจ้าไม่แลดูหน้าแต่สักหนิด
ก็ยังอักอ่วนใจอาลัยมิตร	กลับบิดใส่โทษทุกสิ่งอัน
หนังสืออะไรข้าได้แขวน	ไม่รักแล้วก็แค่นมาเสกสรร
ที่รักนั้นแลหากไม่ว่ากัน	ลายมือของทั่นเจ้าจอมช้าง
ชู้ชอบใจเจ้าเฝ้ายุแยง	เสียดแทงสอดใส่ได้ทุกอย่าง
บ้านเราก็หนักปักริมทาง	ถอนขว้างฉีกทิ้งเสียถมไป
เจ้าหากติดบ่วงมันลวงหลง	เมื่อเข้ากรงแล้วจะดิ้นไปไหนได้
จึงพลอยเหินห่างระคางใจ	คิดไปทั้งนี้นี่เนื้อเคราะห์
มันพอกับเรื่องนางกากี	เจ้าปักษีขุนช้างพานางเหาะ
พี่เหมือนคนธรรพ์สรรจำเพาะ	อย่าฉอเลาะเลยเจ้าจะคืนวัง
มิเสียทีพี่ขอบน้ำใจรัก	เห็นประจักษ์แจ้งจริงมาแต่หลัง
มาหาเห็นหน้าเหมือนชิงชัง	ยังจะซ้ำปลุกชู้ให้ลองฤทธิ์
